,8,,,8,,,8,,,6,,,3
+,6,,+,3,,+,9,,+,2,,+,1
,14,,,11,,,17,,,8,,,4

,3,,,4,,,10,,,5,,,5
+,8,,+,4,,+,2,,+,4,,+,5
,11,,,8,,,12,,,9,,,10

,10,,,6,,,4,,,4,,,5
+,6,,+,4,,+,1,,+,3,,+,9
,16,,,10,,,5,,,7,,,14

,1,,,5,,,10,,,4,,,9
+,8,,+,4,,+,2,,+,9,,+,2
,9,,,9,,,12,,,13,,,11

,10,,,6,,,7,,,7,,,2
+,8,,+,8,,+,9,,+,9,,+,9
,18,,,14,,,16,,,16,,,11

,8,,,1,,,7,,,7,,,3,,,8,,,9,,,8,,,6,,,5
+,9,,+,7,,+,3,,+,7,,+,2,,+,7,,+,6,,+,8,,+,9,,+,5
,17,,,8,,,10,,,14,,,5,,,15,,,15,,,16,,,15,,,10

,6,,,7,,,10,,,5,,,6,,,2,,,9,,,9,,,9,,,2
+,7,,+,3,,+,3,,+,9,,+,5,,+,8,,+,1,,+,5,,+,1,,+,1
,13,,,10,,,13,,,14,,,11,,,10,,,10,,,14,,,10,,,3

,6,,,1,,,3,,,2,,,7,,,10,,,8,,,10,,,8,,,3
+,3,,+,9,,+,3,,+,7,,+,7,,+,4,,+,5,,+,4,,+,4,,+,9
,9,,,10,,,6,,,9,,,14,,,14,,,13,,,14,,,12,,,12

,10,,,5,,,6,,,3,,,4,,,8,,,9,,,9,,,7,,,5
+,3,,+,6,,+,6,,+,4,,+,8,,+,5,,+,9,,+,1,,+,7,,+,3
,13,,,11,,,12,,,7,,,12,,,13,,,18,,,10,,,14,,,8

,3,,,4,,,9,,,8,,,5,,,1,,,10,,,3,,,7,,,1
+,3,,+,2,,+,5,,+,8,,+,5,,+,5,,+,5,,+,9,,+,3,,+,9
,6,,,6,,,14,,,16,,,10,,,6,,,15,,,12,,,10,,,10

,6,,,9,,,1,,,4,,,10,,,1,,,2,,,2,,,7,,,7
+,2,,+,5,,+,9,,+,9,,+,1,,+,4,,+,4,,+,6,,+,2,,+,7
,8,,,14,,,10,,,13,,,11,,,5,,,6,,,8,,,9,,,14

,5,,,1,,,10,,,7,,,7,,,2,,,6,,,10,,,8,,,1
+,4,,+,8,,+,8,,+,8,,+,3,,+,2,,+,2,,+,1,,+,9,,+,6
,9,,,9,,,18,,,15,,,10,,,4,,,8,,,11,,,17,,,7

