,10,,,3,,,6,,,2,,,3
+,8,,+,8,,+,8,,+,8,,+,8
,18,,,11,,,14,,,10,,,11

,3,,,5,,,6,,,9,,,1
+,8,,+,8,,+,8,,+,8,,+,8
,11,,,13,,,14,,,17,,,9

,5,,,9,,,6,,,8,,,2
+,8,,+,8,,+,8,,+,8,,+,8
,13,,,17,,,14,,,16,,,10

,1,,,9,,,10,,,8,,,7
+,8,,+,8,,+,8,,+,8,,+,8
,9,,,17,,,18,,,16,,,15

,2,,,9,,,4,,,8,,,2
+,8,,+,8,,+,8,,+,8,,+,8
,10,,,17,,,12,,,16,,,10

,5,,,7,,,7,,,7,,,8,,,8,,,8,,,5,,,9,,,4
+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8
,13,,,15,,,15,,,15,,,16,,,16,,,16,,,13,,,17,,,12

,7,,,10,,,4,,,10,,,6,,,4,,,9,,,10,,,7,,,1
+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8
,15,,,18,,,12,,,18,,,14,,,12,,,17,,,18,,,15,,,9

,1,,,10,,,10,,,1,,,10,,,3,,,2,,,4,,,3,,,9
+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8
,9,,,18,,,18,,,9,,,18,,,11,,,10,,,12,,,11,,,17

,5,,,2,,,3,,,1,,,5,,,2,,,5,,,1,,,1,,,10
+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8
,13,,,10,,,11,,,9,,,13,,,10,,,13,,,9,,,9,,,18

,5,,,2,,,1,,,9,,,4,,,5,,,10,,,10,,,5,,,3
+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8
,13,,,10,,,9,,,17,,,12,,,13,,,18,,,18,,,13,,,11

,10,,,1,,,2,,,8,,,3,,,9,,,1,,,8,,,8,,,4
+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8
,18,,,9,,,10,,,16,,,11,,,17,,,9,,,16,,,16,,,12

,9,,,10,,,1,,,5,,,8,,,9,,,3,,,7,,,9,,,7
+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8,,+,8
,17,,,18,,,9,,,13,,,16,,,17,,,11,,,15,,,17,,,15

