,4,,,2,,,1,,,12,,,6
4,16,,7,14,,6,6,,5,60,,4,24

,15,,,14,,,6,,,10,,,19
5,75,,4,56,,6,36,,8,80,,4,76

,12,,,1,,,15,,,18,,,8
5,60,,6,6,,3,45,,4,72,,9,72

,3,,,1,,,6,,,5,,,13
7,21,,3,3,,4,24,,9,45,,5,65

,16,,,15,,,3,,,7,,,7
3,48,,4,60,,4,12,,3,21,,9,63

,3,,,2,,,24,,,15,,,11,,,10,,,16,,,8,,,12
3,9,,3,6,,3,72,,5,75,,6,66,,4,40,,5,80,,7,56,,3,36

,4,,,17,,,11,,,1,,,4,,,6,,,8,,,15,,,5
6,24,,3,51,,3,33,,5,5,,8,32,,8,48,,7,56,,5,75,,7,35

,4,,,7,,,16,,,2,,,14,,,6,,,13,,,8,,,6
3,12,,9,63,,5,80,,5,10,,4,56,,7,42,,3,39,,5,40,,5,30

,6,,,5,,,7,,,6,,,7,,,22,,,16,,,7,,,6
4,24,,6,30,,5,35,,8,48,,3,21,,3,66,,5,80,,7,49,,5,30

,5,,,6,,,9,,,16,,,9,,,13,,,3,,,9,,,10
5,25,,9,54,,8,72,,5,80,,9,81,,6,78,,7,21,,7,63,,3,30

,4,,,8,,,7,,,6,,,13,,,13,,,14,,,3,,,5
7,28,,8,64,,5,35,,4,24,,6,78,,5,65,,3,42,,6,18,,4,20

,12,,,12,,,6,,,4,,,1,,,7,,,6,,,3,,,9
3,36,,6,72,,8,48,,8,32,,9,9,,6,42,,6,36,,4,12,,7,63

,10,,,2,,,2,,,5,,,26,,,14,,,8,,,5,,,1
8,80,,4,8,,6,12,,7,35,,3,78,,4,56,,6,48,,8,40,,6,6

,1,,,9,,,6,,,23,,,4,,,13,,,9,,,15,,,19
6,6,,4,36,,9,54,,3,69,,3,12,,3,39,,8,72,,5,75,,4,76

,6,,,17,,,5,,,6,,,17,,,3,,,14,,,16,,,10
7,42,,4,68,,7,35,,4,24,,3,51,,8,24,,5,70,,3,48,,8,80

