,2,,,1,,,6,,,8,,,2
+,3,,+,3,,+,3,,+,3,,+,3
,5,,,4,,,9,,,11,,,5

,2,,,7,,,6,,,10,,,5
+,3,,+,3,,+,3,,+,3,,+,3
,5,,,10,,,9,,,13,,,8

,3,,,10,,,2,,,9,,,7
+,3,,+,3,,+,3,,+,3,,+,3
,6,,,13,,,5,,,12,,,10

,7,,,2,,,1,,,7,,,10
+,3,,+,3,,+,3,,+,3,,+,3
,10,,,5,,,4,,,10,,,13

,7,,,3,,,9,,,6,,,8
+,3,,+,3,,+,3,,+,3,,+,3
,10,,,6,,,12,,,9,,,11

,2,,,10,,,8,,,2,,,2,,,1,,,8,,,8,,,3,,,7
+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3
,5,,,13,,,11,,,5,,,5,,,4,,,11,,,11,,,6,,,10

,1,,,9,,,9,,,2,,,1,,,4,,,4,,,9,,,6,,,1
+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3
,4,,,12,,,12,,,5,,,4,,,7,,,7,,,12,,,9,,,4

,4,,,1,,,2,,,1,,,9,,,8,,,9,,,6,,,9,,,7
+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3
,7,,,4,,,5,,,4,,,12,,,11,,,12,,,9,,,12,,,10

,10,,,8,,,6,,,3,,,10,,,2,,,8,,,1,,,7,,,6
+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3
,13,,,11,,,9,,,6,,,13,,,5,,,11,,,4,,,10,,,9

,2,,,1,,,1,,,3,,,8,,,7,,,7,,,10,,,6,,,8
+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3
,5,,,4,,,4,,,6,,,11,,,10,,,10,,,13,,,9,,,11

,8,,,1,,,5,,,3,,,9,,,6,,,9,,,3,,,10,,,8
+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3
,11,,,4,,,8,,,6,,,12,,,9,,,12,,,6,,,13,,,11

,1,,,4,,,10,,,5,,,4,,,1,,,8,,,4,,,7,,,6
+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3,,+,3
,4,,,7,,,13,,,8,,,7,,,4,,,11,,,7,,,10,,,9

