,7,,,4,,,5,,,1,,,4
+,2,,+,2,,+,6,,+,4,,+,7
,9,,,6,,,11,,,5,,,11

,9,,,4,,,10,,,4,,,3
+,1,,+,10,,+,9,,+,7,,+,3
,10,,,14,,,19,,,11,,,6

,7,,,10,,,1,,,10,,,4
+,1,,+,10,,+,5,,+,10,,+,6
,8,,,20,,,6,,,20,,,10

,3,,,8,,,10,,,1,,,10
+,3,,+,9,,+,4,,+,6,,+,8
,6,,,17,,,14,,,7,,,18

,3,,,7,,,2,,,7,,,1
+,5,,+,5,,+,7,,+,8,,+,5
,8,,,12,,,9,,,15,,,6

,1,,,5,,,2,,,7,,,10,,,8,,,1,,,7,,,6,,,1
+,2,,+,2,,+,3,,+,10,,+,4,,+,1,,+,2,,+,2,,+,7,,+,4
,3,,,7,,,5,,,17,,,14,,,9,,,3,,,9,,,13,,,5

,2,,,1,,,2,,,6,,,6,,,2,,,10,,,7,,,5,,,6
+,5,,+,7,,+,2,,+,5,,+,4,,+,2,,+,4,,+,4,,+,3,,+,1
,7,,,8,,,4,,,11,,,10,,,4,,,14,,,11,,,8,,,7

,10,,,6,,,8,,,9,,,6,,,5,,,9,,,3,,,1,,,4
+,7,,+,2,,+,1,,+,1,,+,6,,+,1,,+,3,,+,3,,+,2,,+,6
,17,,,8,,,9,,,10,,,12,,,6,,,12,,,6,,,3,,,10

,6,,,2,,,4,,,4,,,9,,,6,,,8,,,1,,,5,,,8
+,7,,+,2,,+,10,,+,10,,+,8,,+,8,,+,6,,+,2,,+,4,,+,4
,13,,,4,,,14,,,14,,,17,,,14,,,14,,,3,,,9,,,12

,7,,,7,,,6,,,10,,,9,,,1,,,5,,,9,,,4,,,3
+,9,,+,7,,+,8,,+,10,,+,6,,+,9,,+,5,,+,8,,+,3,,+,9
,16,,,14,,,14,,,20,,,15,,,10,,,10,,,17,,,7,,,12

,8,,,5,,,6,,,4,,,8,,,3,,,7,,,3,,,5,,,4
+,9,,+,2,,+,1,,+,4,,+,10,,+,2,,+,1,,+,9,,+,7,,+,6
,17,,,7,,,7,,,8,,,18,,,5,,,8,,,12,,,12,,,10

,10,,,9,,,9,,,9,,,3,,,8,,,10,,,3,,,7,,,5
+,8,,+,10,,+,2,,+,6,,+,9,,+,5,,+,2,,+,7,,+,8,,+,7
,18,,,19,,,11,,,15,,,12,,,13,,,12,,,10,,,15,,,12

