,7,,,7,,,6,,,5,,,8
+,9,,+,9,,+,9,,+,9,,+,9


,9,,,3,,,5,,,8,,,1
+,9,,+,9,,+,9,,+,9,,+,9


,1,,,3,,,4,,,7,,,4
+,9,,+,9,,+,9,,+,9,,+,9


,2,,,7,,,9,,,4,,,3
+,9,,+,9,,+,9,,+,9,,+,9


,2,,,5,,,6,,,7,,,7
+,9,,+,9,,+,9,,+,9,,+,9


,9,,,9,,,9,,,7,,,6,,,8,,,6,,,9,,,8,,,3
+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9


,4,,,4,,,8,,,6,,,7,,,1,,,7,,,6,,,2,,,2
+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9


,4,,,4,,,7,,,3,,,3,,,2,,,9,,,9,,,9,,,9
+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9


,6,,,9,,,7,,,3,,,6,,,3,,,9,,,9,,,4,,,5
+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9


,2,,,2,,,5,,,1,,,5,,,7,,,7,,,6,,,4,,,3
+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9


,8,,,7,,,6,,,9,,,7,,,6,,,3,,,3,,,6,,,6
+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9


,1,,,9,,,9,,,4,,,7,,,8,,,4,,,8,,,9,,,2
+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9,,+,9


