,3,,,4,,,8,,,3,,,8
+,5,,+,5,,+,5,,+,5,,+,5


,7,,,5,,,7,,,7,,,3
+,5,,+,5,,+,5,,+,5,,+,5


,10,,,4,,,10,,,5,,,10
+,5,,+,5,,+,5,,+,5,,+,5


,8,,,1,,,2,,,5,,,5
+,5,,+,5,,+,5,,+,5,,+,5


,1,,,3,,,5,,,8,,,9
+,5,,+,5,,+,5,,+,5,,+,5


,6,,,4,,,6,,,2,,,5,,,7,,,9,,,4,,,6,,,5
+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5


,5,,,7,,,9,,,3,,,2,,,1,,,5,,,3,,,5,,,3
+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5


,8,,,6,,,4,,,4,,,4,,,10,,,6,,,8,,,9,,,8
+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5


,6,,,3,,,8,,,10,,,9,,,10,,,8,,,4,,,10,,,10
+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5


,3,,,9,,,6,,,2,,,10,,,2,,,4,,,5,,,4,,,4
+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5


,6,,,7,,,9,,,9,,,9,,,10,,,3,,,3,,,1,,,4
+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5


,7,,,7,,,6,,,5,,,10,,,7,,,10,,,5,,,1,,,8
+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5,,+,5


