,48,,,15,,,30,,,8,,,45
%,4,,%,5,,%,6,,%,4,,%,5
,12,,,3,,,5,,,2,,,9

,24,,,28,,,36,,,35,,,32
%,6,,%,4,,%,4,,%,5,,%,4
,4,,,7,,,9,,,7,,,8

,25,,,12,,,30,,,50,,,50
%,5,,%,6,,%,5,,%,5,,%,5
,5,,,2,,,6,,,10,,,10

,4,,,42,,,8,,,20,,,45
%,4,,%,6,,%,4,,%,5,,%,5
,1,,,7,,,2,,,4,,,9

,32,,,40,,,12,,,40,,,48
%,4,,%,4,,%,6,,%,5,,%,6
,8,,,10,,,2,,,8,,,8

,45,,,12,,,52,,,10,,,25,,,16,,,4,,,40,,,54,,,35
%,5,,%,4,,%,4,,%,5,,%,5,,%,4,,%,4,,%,5,,%,6,,%,5
,9,,,3,,,13,,,2,,,5,,,4,,,1,,,8,,,9,,,7

,36,,,30,,,6,,,12,,,36,,,36,,,52,,,36,,,48,,,4
%,4,,%,6,,%,6,,%,6,,%,6,,%,6,,%,4,,%,6,,%,4,,%,4
,9,,,5,,,1,,,2,,,6,,,6,,,13,,,6,,,12,,,1

,28,,,8,,,36,,,20,,,54,,,30,,,18,,,30,,,36,,,36
%,4,,%,4,,%,6,,%,5,,%,6,,%,6,,%,6,,%,5,,%,6,,%,4
,7,,,2,,,6,,,4,,,9,,,5,,,3,,,6,,,6,,,9

,45,,,36,,,20,,,40,,,20,,,40,,,20,,,24,,,48,,,44
%,5,,%,6,,%,4,,%,5,,%,5,,%,4,,%,5,,%,6,,%,6,,%,4
,9,,,6,,,5,,,8,,,4,,,10,,,4,,,4,,,8,,,11

,48,,,10,,,44,,,30,,,24,,,44,,,8,,,25,,,10,,,20
%,4,,%,5,,%,4,,%,6,,%,4,,%,4,,%,4,,%,5,,%,5,,%,4
,12,,,2,,,11,,,5,,,6,,,11,,,2,,,5,,,2,,,5

,30,,,12,,,50,,,35,,,20,,,28,,,44,,,50,,,25,,,50
%,5,,%,4,,%,5,,%,5,,%,5,,%,4,,%,4,,%,5,,%,5,,%,5
,6,,,3,,,10,,,7,,,4,,,7,,,11,,,10,,,5,,,10

,24,,,30,,,15,,,30,,,16,,,18,,,36,,,36,,,4,,,25
%,6,,%,5,,%,5,,%,5,,%,4,,%,6,,%,6,,%,6,,%,4,,%,5
,4,,,6,,,3,,,6,,,4,,,3,,,6,,,6,,,1,,,5

,32,,,10,,,8,,,25,,,52,,,10,,,52,,,40,,,40,,,8
%,4,,%,5,,%,4,,%,5,,%,4,,%,5,,%,4,,%,5,,%,4,,%,4
,8,,,2,,,2,,,5,,,13,,,2,,,13,,,8,,,10,,,2

,52,,,35,,,30,,,48,,,6,,,48,,,28,,,24,,,16,,,16
%,4,,%,5,,%,6,,%,4,,%,6,,%,4,,%,4,,%,6,,%,4,,%,4
,13,,,7,,,5,,,12,,,1,,,12,,,7,,,4,,,4,,,4

,30,,,35,,,5,,,15,,,28,,,4,,,24,,,48,,,30,,,16
%,5,,%,5,,%,5,,%,5,,%,4,,%,4,,%,4,,%,4,,%,5,,%,4
,6,,,7,,,1,,,3,,,7,,,1,,,6,,,12,,,6,,,4

